,Idiom,Sentence
383,out of the blue,"He stared out of the airplane window, awestruck by the birds flying high out of the blue sky."
384,out of the blue,"As she looked out to the horizon, a ship appeared out of the blue sea."
385,over the moon,"We received a transmission from the spaceship, confirming that they were indeed over the moon."
386,over the moon,"The satellite, now over the moon, started collecting invaluable data about its surface."
387,throw down the gauntlet,"During the medieval tournament, the knight decided to throw down the gauntlet to challenge his opponent."
388,throw down the gauntlet,"In a dramatic gesture, he chose to throw down the gauntlet, signaling his readiness for the duel."
389,take the bull by the horns,"In the heart of Spain, Juan decided to take the bull by the horns during the annual bullfight."
390,take the bull by the horns,"Despite his fear, the matador knew he had to take the bull by the horns to impress the crowd."
391,take the bull by the horns,"In a show of unparalleled courage, the young fighter chose to take the bull by the horns, risking his life in the process."
392,over the top,The hiker had to climb over the top of the mountain to reach their destination.
393,over the top,The kid reached his hand over the top of the jar to grab a cookie.
394,over the top,She had to throw the ball over the top of the fence to get it back into her yard.
395,sweetness and light,The kitchen was filled with the sweetness and light of freshly baked cookies and morning sunlight.
396,sweetness and light,She loved the late afternoons when her home was filled with the sweetness and light of her homemade lemonade and the rays of the setting sun.
397,behind someone's back,The cat jumped on the counter behind someone's back while they were cooking.
398,behind someone's back,She noticed a spider crawling up the wall behind someone's back during the meeting.
399,on the ropes,The children were having fun playing on the ropes in the park.
400,take the cake,"For her birthday, all she wanted to do was to take the cake home and enjoy it in peace."
401,dig up dirt,"While searching for the old coins he had buried years ago, he had to dig up dirt from various spots in his backyard."
402,dig up dirt,The archaeologists had to dig up dirt carefully to uncover the ancient artifacts.
403,dig up dirt,"In an attempt to plant new trees in the garden, they had to dig up dirt to make room for the saplings."
404,left and right,"He turned his head left and right, trying to find the source of the noise."
405,dead in the water,"The old fishing boat was found dead in the water, floating aimlessly in the middle of the lake."
406,dead in the water,"After the storm, many fish were dead in the water, having been unable to survive the harsh conditions."
407,dead in the water,The sailor feared his ship would be dead in the water if he could not repair the engine quickly.
408,take no prisoners,"The ruthless pirates adhered to a brutal code of 'take no prisoners', leaving no survivors in their wake."
409,run out of steam,The steam iron couldn't finish the job as it run out of steam.
410,take a hike,"On our vacation, we decided to take a hike up the mountain to enjoy the beautiful view."
411,take a hike,"If you're feeling stressed, it can be beneficial to take a hike in nature and breath in the fresh air."
412,take a hike,"After setting up camp, we decided to take a hike and explore the surrounding area."
413,go the extra mile,"While most tourists were content with viewing the mountain from the base, our adventurous group decided to go the extra mile and climb to the summit."
414,under a cloud,"As the children played football in the park, they found themselves suddenly under a cloud, and rain began to pour down."
415,under a cloud,"The picnic was less enjoyable when we had to eat our sandwiches under a cloud, shielding our food from potential rain."
416,under a cloud,"The small plane flew under a cloud, giving the passengers a temporary relief from the strong sunlight."
417,in someone's pocket,"While searching, she found a forgotten love letter in someone's pocket."
418,in someone's pocket,The detective found the crucial evidence in someone's pocket.
419,in someone's pocket,The little boy was surprised to discover a shiny coin in someone's pocket.
420,on the shelf,The old books were collecting dust on the shelf.
421,on the shelf,She carefully placed the antique vase on the shelf.
422,on the shelf,He noticed that the family photos were slightly tilted on the shelf.
423,pound the pavement,The construction workers had to pound the pavement to make way for a new road.
424,cut and thrust,The blacksmith demonstrated the cut and thrust techniques with his newly forged sword.
425,cut and thrust,"The cut and thrust of the samurai's blade was swift and precise, leaving spectators in awe."
426,song and dance,The theater was alive with the sound of song and dance.
427,song and dance,"Their wedding was full of joy, filled with song and dance late into the night."
428,song and dance,"He expressed his happiness through his favorite form of art, song and dance."
429,turn the tables,The movers had to turn the tables to get them through the narrow doorway.
430,turn the tables,"When the carpet was being replaced, they had to turn the tables to clear the floor."
431,over the hill,The hikers needed to rest after getting over the hill.
432,over the hill,She could see her house just over the hill.
433,over the hill,The sun was rising from over the hill.
434,out of the loop,"The defective conveyor belt in the factory meant that the boxes kept falling out of the loop, disrupting the packaging process."
435,drop the ball,"During the championship game, the quarterback was so nervous he managed to drop the ball."
436,the buck stops here,"While hunting, they established a boundary line and stated firmly, 'the buck stops here'."
437,the buck stops here,"At the wildlife reserve, the rangers had put up a sign saying, 'the buck stops here' to indicate the feeding area."
438,the buck stops here,"In the middle of the trail, there stood a deer, as if to say 'the buck stops here'."
439,on the rocks,"While hiking, they stopped for a moment, sitting on the rocks to enjoy the serene view."
440,on the rocks,She placed her glass on the rocks to prevent it from tipping over.
441,on the rocks,The adventurous kid was seen skipping joyously on the rocks by the stream.
442,break someone's heart,"When the doctor said that the surgery might actually break someone's heart, everyone in the room gasped in horror."
443,break someone's heart,The medical report stated a strange case where a minor accident did break someone's heart physically.
444,break someone's heart,"In the medical literature, there are very few cases where extreme physical exertion could potentially break someone's heart."
445,steal someone's thunder,"In the fantasy world, the wicked witch could steal someone's thunder, using it to increase her own magical powers."
446,slap on the wrist,She accidentally got a slap on the wrist while reaching for the same book as another library patron.
447,slap on the wrist,The overly excited puppy gave him a slap on the wrist with his paw.
448,on the make,The construction workers were on the make of a new skyscraper downtown.
449,on the make,"She was on the make of a beautiful, hand-knit sweater for her grandson."
450,on the make,The bakery was on the make of a large wedding cake for the weekend's event.
451,things that go bump in the night,"As a child, she was always afraid of things that go bump in the night, so her parents had to check under her bed before she could sleep."
452,push the boat out,"As the sun began to rise, the fisherman decided to push the boat out and start his day early."
453,push the boat out,"Before the storm hit, they had to push the boat out to prevent it from getting damaged on the shore."
454,push the boat out,"With the lifeguard's whistle echoing in their ears, they knew they had to push the boat out quickly to reach the struggling swimmers."
455,smell a rat,"As soon as she opened the basement door, she could smell a rat, confirming her fears of an infestation."
456,smell a rat,"He walked into the old shed and immediately began to smell a rat, indicating something had found its way in."
457,smell a rat,"While cleaning the attic, she started to smell a rat, leading her to discover a nest in the corner."
458,shoot the messenger,"In the middle of the war, he was ordered to shoot the messenger who was delivering the enemy's terms."
459,shoot the messenger,"Despite her pleas, they decided to shoot the messenger when he arrived with the news of the invasion."
460,shoot the messenger,Victor was forced to shoot the messenger when he discovered he was working for the rival gang.
461,wake up and smell the coffee,"Every morning, he would wake up and smell the coffee his wife had kindly brewed for him."
462,fun and games,The children's party was full of fun and games.
463,fun and games,"Every Christmas, our family gathering is always filled with fun and games."
464,fun and games,The picnic at the park turned into an afternoon of fun and games.
465,cast the first stone,"During the ancient ritual, the high priest was always the one to cast the first stone into the sacred well."
466,cast the first stone,"In the reenactment of the historical event, the actor playing the rebel leader was directed to cast the first stone."
467,kick the bucket,"While cleaning the barn, John accidently kick the bucket full of milk."
468,kick the bucket,"As she was running around, the toddler managed to kick the bucket of toys across the room."
469,kick the bucket,"In his rush to catch the bus, he didn't see and kick the bucket of paint lying on the street."
470,fly a kite,"On sunny weekends, my family loves to go to the park and fly a kite."
471,fly a kite,It was so windy outside that it was the perfect weather to fly a kite.
472,fly a kite,"When I was a child, I learnt how to make and fly a kite."
473,in the clear,"The full moon hung in the clear, cloudless sky, casting long shadows on the ground."
474,in the clear,"After the dust storm passed, we emerged from our shelter to find ourselves in the clear desert landscape."
475,have a few,I want to have a few books on philosophy in my library.
476,have a few,They decided to have a few days off to relax and recharge.
477,have a few,She suggested that we have a few slices of cake left for dessert.
478,to the hilt,The knight thrust his sword to the hilt into the dragon's hide.
479,to the hilt,She pushed the shovel to the hilt into the earth to plant the tree.
480,to the hilt,He plunged the knife to the hilt into the watermelon.
481,open the floodgates,"After days of torrential rain, the city officials decided to open the floodgates of the dam to prevent any damage."
482,open the floodgates,The engineer was instructed to open the floodgates to alleviate the pressure building up in the reservoir.
483,open the floodgates,"During the annual boating competition, they had to open the floodgates to ensure enough water was in the canal."
484,throw the book at,"After his fit of anger, he decided to throw the book at the wall."
485,throw the book at,"In her frustration with the confusing plot, she decided to throw the book at the window."
486,throw the book at,"Exhausted and unable to concentrate any longer, he chose to throw the book at the door and go to bed."
487,when the chips are down,"When the chips are down on the poker table, the game becomes intense."
488,when the chips are down,He always eats his sandwich first and saves his lunch for when the chips are down.
489,between a rock and a hard place,"During our hiking trip, we found a rare flower growing between a rock and a hard place."
490,between a rock and a hard place,The mouse quickly escaped the cat by disappearing between a rock and a hard place.
491,put down roots,"To flourish, the small seedling must put down roots deep into the fertile soil."
492,put down roots,The gardener advised me to put down roots of the new flowers before the onset of winter.
493,in your dreams,"In your dreams, you often encounter strange, surreal landscapes."
494,in your dreams,"He told me that in your dreams, you can sometimes perceive future events."
495,short and sweet,"Her new haircut was short and sweet, making her look younger and more vibrant."
496,cut and dried,"After the harvest, the herbs were cut and dried for winter use."
497,cut and dried,She cut and dried the flowers to preserve their vibrant colors.
498,cut and dried,"Once the fruit was cut and dried, it could be stored for a long time."
499,six of the best,"For her birthday party, she selected six of the best dresses from her wardrobe."
500,six of the best,The coach chose six of the best players for the upcoming tournament.
501,six of the best,The bakery displayed six of the best pastries for the customers to sample.
502,behind closed doors,The cat was hiding behind closed doors during the thunderstorm.
503,behind closed doors,We could hear laughter coming from behind closed doors.
504,behind closed doors,He found the secret treasure hidden behind closed doors in the ancient mansion.
505,clear the decks,"Before we can set sail, we need to clear the decks of all unnecessary items."
506,clear the decks,"During the storm, the captain ordered to clear the decks to avoid any loose objects from causing harm."
507,clear the decks,"After the party, we had to clear the decks of cups and plates."
508,on the game,"He stayed up all night with his friends, focused on the game they were playing."
509,on the game,She offered some strategic advice based on the game's current situation.
510,on the game,"Their eyes were glued on the screen, entirely engrossed on the game."
511,with open arms,She ran towards her best friend with open arms after not seeing her for years.
512,with open arms,"Upon seeing his lost dog, the boy rushed to him with open arms."
513,flash in the pan,"While cooking dinner, a sudden flash in the pan startled me."
514,flash in the pan,"As I added the wine, there was a bright flash in the pan."
515,flash in the pan,"The oil was too hot, causing a dangerous flash in the pan."
516,rough around the edges,"The old wooden table was rough around the edges, needing a good sanding."
517,rough around the edges,"I noticed the freshly cut paper was rough around the edges, signifying a blunt blade on the cutter."
518,fly off the handle,"While they were playing baseball, a strong swing made the bat fly off the handle."
519,fly off the handle,She was so startled by the mouse in the room that she threw the pan and made it fly off the handle.
520,see the light,"After days of being trapped in the dark cave, they finally began to see the light at the entrance."
521,see the light,"As sunrise approached, we began to see the light creeping in through the gaps in the curtains."
522,see the light,"She was lost in the dense forest, but managed to see the light through the trees which led her to a clear path."
523,pour cold water on,"While cleaning the kitchen, he needed to pour cold water on the hot pan to cool it down."
524,pour cold water on,"After an intense workout, she would often pour cold water on her face to feel refreshed."
525,pour cold water on,He accidentally burned his hand on the oven and had to quickly pour cold water on the wound to soothe it.
526,fire in the belly,"The chef accidentally spilled hot sauce, causing a literal fire in the belly of the iron statue."
527,get a grip,"During the rock climbing session, the instructor yelled at him to get a grip or he would fall."
528,get a grip,He struggled to get a grip on the slippery glass jar of pickles.
529,get a grip,"In order to complete the pull-up, she had to get a grip on the bar above her head."
530,in the loop,The hikers got stuck in the loop of the mountain trail and had to backtrack their steps.
531,in the loop,The children played endlessly in the loop of the rollercoaster ride simulation game.
532,in the loop,The kite got caught in the loop at the top of the tree.
533,fly in the face of,The angry birds would often fly in the face of the intruders to protect their nests.
534,fly in the face of,"As the dust storm grew stronger, particles of sand would fly in the face of the travelers, making it difficult for them to see."
535,get the boot,"After a long hike, he was relieved to finally get the boot off his swollen foot."
536,get the boot,The cowboy struggled to get the boot out of the stirrup after falling off his horse.
537,on and off,The lights kept flickering on and off during the storm.
538,on and off,He toggled the switch on and off a few times to test the circuit.
539,on and off,"The TV was turning on and off by itself, which suggested a possible fault."
540,cook the books,"In an unusual art project, she decided to literally cook the books by baking them in her oven."
541,cook the books,"The chef, known for his eccentricities, decided to cook the books as part of his avant-garde culinary experiment."
542,cook the books,"As part of the bonfire celebration, they decided to cook the books, using them as fuel for the fire."
543,on the same page,The crucial information was found on the same page as the index.
544,on the same page,She spotted two misprints on the same page of the book.
545,run a mile,"Every morning, I wake up early to run a mile and start my day on a healthy note."
546,run a mile,"During her training, she had to run a mile every day to build up her endurance."
547,run a mile,"He was so fit, he could easily run a mile without breaking a sweat."
548,on thin ice,"During the winter, children often play on thin ice, unaware of the danger beneath their feet."
549,on thin ice,"Despite the warning signs, the adventurous hiker decided to walk on thin ice."
550,close to home,"The new grocery store is very close to home, making shopping much more convenient."
551,close to home,I enjoy living in this neighborhood because the park is close to home.
552,close to home,"Even though the gym is close to home, I often find it hard to motivate myself to go."
553,in the bag,He left his keys in the bag and couldn't get into the house.
554,in the bag,They hid the surprise gift in the bag.
555,in the raw,"In the raw form, coffee beans have a greenish hue and a grassy smell."
556,in the raw,The amateur photographer decided to save his pictures in the raw format to reduce loss of quality.
557,cut the mustard,"After preparing the ingredients for the salad, she began to carefully cut the mustard greens."
558,force someone's hand,"During the self-defense class, the instructor showed how to force someone's hand open to break free from their grip."
559,force someone's hand,The magician needed to force someone's hand into the hat to demonstrate that it was indeed empty.
560,in the final analysis,"In the final analysis of the data, we found some startling discrepancies."
561,in the final analysis,"The detective stated, 'In the final analysis of the crime scene, we discovered the hidden evidence.'"
562,in the final analysis,"In the final analysis of the experiment, the results were not as expected."
563,up in the air,"The colorful balloons were up in the air, adding to the joy of the festive atmosphere."
564,up in the air,She watched as the hot air balloon slowly drifted up in the air.
565,fall from grace,"In the classic novel, the character's literal fall from grace was represented by him tumbling down from the church's high tower."
566,fall from grace,The acrobat's daring act ended in a shocking fall from grace when he slipped from the trapeze.
567,fall from grace,"During the earthquake, the iconic statue in the town square endured a fall from grace, with it crashing from its high pedestal onto the ground."
568,full of beans,"The soup was full of beans and had a rich, savory flavor."
569,full of beans,"He opened the sack to find it was full of beans, ready to be cooked."
570,full of beans,"After the harvest, her pantry was full of beans from the garden."
571,press the panic button,"During the emergency drill, everyone was instructed to press the panic button."
572,press the panic button,"If an intruder enters the building, don't hesitate to press the panic button."
573,press the panic button,"She was home alone when she heard a strange noise, so she decided to press the panic button."
574,have a heart,The doctor confirmed that they all have a heart and it's functioning well.
575,have a heart,"Despite his stern look, the man was known to have a heart of gold."
576,have a heart,"According to the latest medical reports, animals like dogs and cats also have a heart."
577,on the fly,The dragonfly hovered on the fly for a few seconds before darting off to another direction.
578,on the fly,"The spider spins its web on the fly, catching its prey unawares."
579,get stuck in,My car always seems to get stuck in the muddy driveway after a heavy rain.
580,get stuck in,"I watched helplessly as my kite soared higher and higher, only to get stuck in a tall tree."
581,get stuck in,"During our hike, my foot managed to get stuck in a crevice and it took a while to free it."
582,out of the box,The cat jumped out of the box and ran away.
583,out of the box,She excitedly pulled the new shoes out of the box.
584,out of the box,He reached out of the box to grab the nearby scissors.
585,on the warpath,"During the tribal wars, the Apaches were frequently on the warpath, striking fear into the hearts of their enemies."
586,on the warpath,"Historical records depict Genghis Khan and his Mongol horde as constantly being on the warpath, conquering numerous lands."
587,on the warpath,"The Viking warriors were on the warpath again, their dragon-headed longships silhouetted against the setting sun."
588,take a dive,"As the sun began to set, he decided to take a dive into the cool, calming ocean."
589,take a dive,"She couldn't resist the clear, blue water and decided it was time to take a dive."
590,take a dive,"After adjusting his goggles and taking a deep breath, the diver was ready to take a dive."
591,scratch the surface,"While exploring the ancient artifact, the archaeologist was careful not to scratch the surface."
592,scratch the surface,"The cat always tries to scratch the surface of the new sofa, despite our efforts to make it stop."
593,scratch the surface,My little brother attempted to scratch the surface of the lottery ticket with a coin.
594,hammer and tongs,"He spent the afternoon at the forge, working hammer and tongs."
595,hammer and tongs,"To fix the old car, she needed nothing more than her hammer and tongs."
596,hammer and tongs,"By the campfire, he grabbed his hammer and tongs to rearrange the burning logs."
597,make a clean break,"After the accident, the doctor was relieved to see that his patient's arm had managed to make a clean break, which would aid in the healing process."
598,make a clean break,"The glass fell from the table and managed to make a clean break along its middle, splitting it into two equal halves."
599,make a clean break,"Angela was learning pottery, but she struggled to make a clean break in the clay."
600,at sixes and sevens,"When their mother passed away, the children were left at sixes and sevens, unsure of how to manage the household."
601,nuts and bolts,The carpenter reached into his bag for the nuts and bolts.
602,nuts and bolts,"She dropped the box, scattering nuts and bolts across the floor."
603,nuts and bolts,"To assemble the machine, you will need these specific nuts and bolts."
604,the ball is in someone's court,"During the tennis match, after a powerful serve, the ball was in his opponent's court."
605,the ball is in someone's court,"He kicked the soccer ball with great force, ensuring for a moment that the ball was in the other team's court."
606,get a life,"After surviving the dangerous surgery, he was grateful to get a life again."
607,get a life,The heart transplant enabled her to get a life she thought she'd lost forever.
608,get a life,Being rescued from the deserted island meant he could finally get a life back in civilization.
609,on the nose,The ball hit him right on the nose.
610,on the nose,She placed the glasses carefully on the nose.
611,on the nose,The butterfly landed softly on the nose of the little girl.
612,on a shoestring,I saw a kid walking on a shoestring tied between two trees.
613,in the driver's seat,"After passing her test, she felt a rush of excitement the first time she was in the driver's seat."
614,in the driver's seat,"In the driver's seat, he adjusted the mirrors and checked the rear view before starting the car."
615,wet behind the ears,"After the swim lesson, Tommy was still wet behind the ears."
616,wet behind the ears,"When she came in from the rain, she was wet behind the ears."
617,wet behind the ears,He had just washed his hair and was still wet behind the ears.
618,up a tree,The small cat got stuck up a tree and was meowing for help.
619,up a tree,"During our hike, we saw a squirrel scurrying up a tree with an acorn in its mouth."
620,up a tree,The adventurous child climbed up a tree to get a better view of the sunset.
621,pick someone's brain,The scientist had an experiment to pick someone's brain for studying the effects of the new drug.
622,fill someone's shoes,"As a prank, the kids decided to fill their father's shoes with whipped cream when he was not looking."
623,save someone's skin,"When the hiker got trapped under the rock, the rescue team managed to save his skin from getting severely injured."
624,save someone's skin,"Despite the blazing sun, her sunblock managed to save her skin from getting sunburned."
625,walk all over,The hikers had to walk all over the mountain to find the perfect camping spot.
626,walk all over,"The toddler loved to walk all over the house, exploring every nook and cranny."
627,walk all over,"During the city tour, we had to walk all over the old town to visit all the historical monuments."
628,hot and heavy,"The desert climate was hot and heavy, making it difficult to breathe."
629,hot and heavy,"As they worked out, the air around them felt hot and heavy from their exertion."
630,hot and heavy,"The soup was served hot and heavy, steaming with a variety of hearty vegetables."
631,strike a chord,"During the music lesson, the teacher asked me to strike a chord on the piano."
632,strike a chord,He was so skilled with the guitar that he could effortlessly strike a chord even with his eyes closed.
633,strike a chord,Learning to strike a chord correctly was the first step in my journey as a musician.
634,batten down the hatches,"As the hurricane approached, the sailor yelled, 'Batten down the hatches!' to the crew."
635,batten down the hatches,"Before the storm came in, the captain ordered his team to 'batten down the hatches' to secure the ship."
636,batten down the hatches,"The immediate forecast predicted severe wind and rain, so we had no choice but to 'batten down the hatches' and prepare for a rough night at sea."
637,cap in hand,"With his cap in hand, he stepped forward to greet the queen."
638,cap in hand,"She found her little brother sitting on the staircase, cap in hand, waiting for her to come home."
639,cap in hand,"He stood in the autumn wind, his cap in hand, watching the leaves fall."
640,kicking and screaming,The toddler was kicking and screaming as his mother tried to put him in his car seat.
641,kicking and screaming,"Despite her fear of water, she was dragged to the pool, kicking and screaming."
642,kicking and screaming,"After losing the game, he stormed off the field, kicking and screaming in frustration."
643,sick and tired,The flu had left me feeling sick and tired for nearly a week.
644,sick and tired,She had been working non-stop throughout the flu season and was now sick and tired.
645,on the cards,She wrote a beautiful message on the cards for her friends.
646,on the cards,"While practicing his signature, he accidentally spilled ink on the cards."
647,face the music,"At the concert, the audience was excited to finally face the music."
648,face the music,The conductor turned to face the music as the orchestra began to play.
649,come in from the cold,"After hours of building snowmen and having snowball fights, the children were happy to finally come in from the cold."
650,come in from the cold,She quickly realized she forgot her keys and would not be able to come in from the cold.
651,come in from the cold,The stray dog seemed relieved to come in from the cold when we opened our door to him.
652,head over heels,The gymnast flipped head over heels with perfect precision.
653,head over heels,"The adventurous child went head over heels down the grassy hill, laughing all the way."
654,head over heels,"During the earthquake, everything in the room, including the bookshelf, went head over heels."
655,reach for the stars,"In the planetarium, the holographic display was so realistic, it felt as if the children could reach for the stars."
656,for a song,She wrote a beautiful poem for a song she had in mind.
657,for a song,The band was looking for a song to perform at the concert.
658,for a song,He composed a melody for a song he had written.
659,down the tubes,"After the science experiment, we watched the liquid go down the tubes swiftly."
660,down the tubes,Billy's marble raced down the tubes he had meticulously set up in his backyard.
661,down the tubes,The plumber used a camera to inspect what was happening down the tubes of the old sewer system.
662,no strings attached,"After a theatrical performance, the puppet master ensured there were 'no strings attached' to the props anymore."
663,no strings attached,"As a part of the illusion, the magician made the hovering coin appear as if there were 'no strings attached'."
664,no strings attached,She was surprised to find the marionette moving as if there were 'no strings attached'.
665,spit it out,"After biting into the rotten apple, he had no choice but to spit it out."
666,spit it out,"The toddler put a small toy in her mouth, and her mom immediately told her to spit it out."
667,spit it out,The soup was too hot that he had to spit it out immediately.
668,don't hold your breath,"While diving, the instructor warned the beginners, 'don't hold your breath for too long, it might be dangerous.'"
669,don't hold your breath,"During the medical check-up, the doctor instructed me, 'don't hold your breath' while he was checking my respiratory system."
670,don't hold your breath,"In the singing class, the trainer said, 'don't hold your breath' during the exercise."
671,stand up and be counted,The coach implemented a new policy where each player had to stand up and be counted before they left for a match.
672,stand up and be counted,"In the crowded meeting, it was decided that everyone would stand up and be counted to get an accurate headcount."
673,far and away,"The hiker had walked far and away, losing sight of the trail he had initially followed."
674,far and away,"The lost balloon drifted far and away, until it was just a speck in the horizon."
675,far and away,"The ship sailed far and away, into the vast, uncharted waters of the Pacific."
676,sink or swim,"When thrown into the deep end of the pool, it was sink or swim for John."
677,sink or swim,The shipwreck survivors were left with two choices: sink or swim.
678,sink or swim,"During her first swimming lesson, she quickly realized it was sink or swim."
679,hit the bottle,"During the shipwreck, the sailor hit the bottle against the rock to create a sharp tool for survival."
680,hit the bottle,"In a fit of anger, John hit the bottle on the kitchen table, causing it to shatter into pieces."
681,hit the bottle,"As part of the science experiment, Sarah hit the bottle to demonstrate the impact of force on solid objects."
682,turn over a new leaf,The gardener watched as the plant began to turn over a new leaf in the spring.
683,turn over a new leaf,"As she brushed the dirt off, she was careful not to turn over a new leaf of the fern."
684,put the boot in,"Before they started the hike, she had to put the boot in her backpack just in case the current one got torn."
685,put the boot in,"While cleaning the attic, I found an old leather boot and decided to put the boot in the donation box."
686,make a splash,"When the boy jumped off the diving board, he was determined to make a splash big enough to drench his friends."
687,make a splash,The little girl giggled as she used her hands to make a splash in the bathtub.
688,draw a line in the sand,"During their beach vacation, the children decided to draw a line in the sand to divide their playing areas."
689,push someone's buttons,"While playing the arcade game, she couldn't resist the urge to push someone's buttons, interfering with their game."
690,push someone's buttons,The little boy thought it was hilarious to sneak up and push someone's buttons on the elevator before they could select their floor.
691,separate the wheat from the chaff,"After the harvest, the farmers spent hours to separate the wheat from the chaff."
692,separate the wheat from the chaff,The old windmill was specifically designed to separate the wheat from the chaff.
693,get to grips with,The novice rock climber struggled to get to grips with the slippery boulder.
694,get under someone's skin,"The tiny splinter managed to get under his skin, causing immense discomfort."
695,get under someone's skin,The doctor had to remove the glass shard that had managed to get under her skin during her fall.
696,get under someone's skin,"The mosquito's stinger managed to get under his skin, injecting a dose of irritating enzymes."
697,up to speed,The train had to be up to speed before entering the tunnel to avoid getting stuck.
698,up to speed,"Once the old car was up to speed, it could easily compete with the newer models on the highway."
699,go with the flow,"The river was gentle, and the kayak seemed to just go with the flow."
700,go with the flow,"When the current is too strong for the swimmers, they are advised to go with the flow."
701,rule the roost,"On the farm, it was always the oldest hen who seemed to rule the roost."
702,rule the roost,"In the birdhouse, the brightly plumed parrot appeared to rule the roost."
703,rule the roost,"Despite their size, roosters rule the roost in most chicken coops."
704,in the fast lane,"The sports car weaved in and out of traffic, staying predominantly in the fast lane."
705,in the fast lane,"Due to the heavy traffic, the city's transportation department decided to transform the rightmost lane into a dedicated fast lane."
706,in the fast lane,"While driving to her appointment, she realized that she was in the fast lane, which was meant for vehicles going at least 60 mph."
707,break the back of,The weight of the heavy load was enough to break the back of the old mule.
708,break the back of,"Be careful when you lift those weights, you could literally break the back of your body."
709,break the back of,"In his anger, he threatened to break the back of his enemy."
710,put words in someone's mouth,"While performing the ventriloquist act, it seemed like he could literally put words in someone's mouth."
711,put words in someone's mouth,"In the science fiction movie, the alien technology could put words in someone's mouth, causing them to speak languages they never even learned."
712,put words in someone's mouth,"The magician claimed that with his hypnotic powers, he could put words in someone's mouth, making them say things they wouldn't normally say."
713,shut the door on,"Before leaving the house, always remember to shut the door on your way out."
714,shut the door on,"When he heard the strange noise coming from the basement, he quickly decided to shut the door on it."
715,shut the door on,"You left the room in such a rush, you forgot to shut the door on the refrigerator."
716,kiss of death,"When he crossed the gang's territory, he knew he was inviting the 'kiss of death'."
717,kiss of death,They said the venomous spider's bite was nothing less than a 'kiss of death'.
718,kiss of death,"In the ancient legend, the enchantress could deliver a 'kiss of death' to her enemies."
719,on the skids,"The runaway cart was on the skids, sliding rapidly down the icy hill."
720,on the skids,"The car was on the skids, unable to control its movement on the slippery road."
721,on the skids,"After the heavy rain, the bike was on the skids, making it difficult for the rider to maintain balance."
722,light at the end of the tunnel,"After days of being trapped in the dark cave, they finally saw a light at the end of the tunnel indicating an exit."
723,light at the end of the tunnel,"The train had been in the long underground passage for what felt like ages, but finally there was a light at the end of the tunnel appearing."
724,light at the end of the tunnel,"As they navigated through the labyrinth, the sight of a light at the end of the tunnel brought relief and hope."
725,on a roll,"After the mishap, the thread was no longer on a roll."
726,on a roll,The children enjoyed playing with their toy cars on a roll of paper.
727,rock the boat,"Be careful not to rock the boat too much, we don't want to capsize."
728,rock the boat,"She stepped carefully onto the deck, making sure not to rock the boat."
729,below the belt,The boxer was disqualified for repeatedly hitting his opponent below the belt.
730,below the belt,"While playing soccer, he accidentally kicked the ball below the belt, causing the player to wince in pain."
731,below the belt,The martial artist expertly blocked the incoming strike aimed below the belt.
732,see eye to eye,"Despite their height difference, they managed to see eye to eye when they both stood on the podium."
733,see eye to eye,"During their romantic dance, they were so close that they could see eye to eye."
734,get it up,"Despite his efforts, he couldn't get it up the steep hill."
735,get it up,She managed to get it up on the shelf with a little help from her friend.
736,get it up,He struggled to get it up the stairs due to its heavy weight.
737,get away with murder,The detective was determined to catch the serial killer who seemed to always get away with murder.
738,get away with murder,"In the thriller novel, the antagonist was a cunning sociopath who managed to get away with murder multiple times."
739,get away with murder,"Despite the diligent efforts of the police, the notorious gangster continued to get away with murder."
740,one of those things,The red toy car is one of those things that my son plays with every day.
741,one of those things,Her homemade pie is one of those things that everyone looks forward to at the family gathering.
742,joined at the hip,The twins were born joined at the hip and the doctors had to perform a surgery to separate them.
743,joined at the hip,"In the museum, there was a display of a fossil of two prehistoric animals that were joined at the hip."
744,have a ball,"Despite the heavy rain, the children rushed outside to have a ball game."
745,have a ball,She decided to have a ball with her in case they spontaneously decided to play catch in the park.
746,under the sun,They decided to have a picnic under the sun.
747,under the sun,"He sat under the sun, enjoying the warmth on his face."
748,under the sun,She spread out her towel and lay down under the sun to tan.
749,on the wagon,We loaded our luggage on the wagon to carry it to the station.
750,on the wagon,The farmer stacked bales of hay on the wagon to feed his cattle.
751,on the wagon,Children climbed on the wagon to get a better view of the parade.
752,call a spade a spade,"When teaching his son gardening, he emphasized, 'You have to call a spade a spade, not a shovel.'"
753,call a spade a spade,"In the middle of the archaeological dig, she reminded her team to call a spade a spade, as their precise terminology could impact the findings."
754,call a spade a spade,"He struggled with English idioms, but he had no problem learning to call a spade a spade in his gardening class."
755,spill the beans,"While making dinner, I managed to spill the beans all over the kitchen floor."
756,spill the beans,He was so careless with the shopping bags that he managed to spill the beans across the driveway.
757,on the button,The child pressed his finger directly on the button of the toy.
758,on the button,She placed the sticker perfectly on the button of her jacket.
759,on the button,He accidentally spilled coffee on the button of his laptop.
760,black and blue,"Her dress was a beautiful mix of black and blue, reminding me of a starry night."
761,black and blue,The room was decorated black and blue for the high school reunion party.
762,black and blue,"The abstract painting was predominantly black and blue, evoking a sense of calm."
763,put the cart before the horse,"In the painting, the artist humorously depicted a scene where they put the cart before the horse, causing the audience to chuckle."
764,bells and whistles,"His new bike was so fancy, it even had bells and whistles installed."
