ID,Idiom,Sentence,Acceptance (Y/N),Unaccept,Skips,Annotator,Proposed Changes
EXP470,water under the bridge,"As the kids threw pebbles into the river from above, they watched as they became mere water under the bridge.",Y,,,MM,
EXP471,water under the bridge,"The artist sat quietly, capturing the serene scene of the water under the bridge.",Y,,,MM,
EXP472,keep a lid on,"After cooking the soup, she told her assistant to keep a lid on the pot to retain the heat.",Y,,,MM,
EXP473,keep a lid on,The instruction manual for the new pressure cooker emphasised to always keep a lid on when in use to prevent accidents.,Y,,,MM,
EXP474,keep a lid on,"To avoid spills when transporting the container, it's essential to keep a lid on it.",Y,,,MM,
EXP490,down the drain,"While washing her dishes, Jane accidentally let her wedding ring slip down the drain.",Y,,,MM,
EXP491,down the drain,The plumber had to use a special tool to retrieve a child's toy that had fallen down the drain.,Y,,,MM,
EXP492,down the drain,"While rinsing his paint brushes, Tom watched as the colourful water swirled down the drain.",Y,,,MM,
EXP493,make the cut,"After hours of meticulous work, the tailor was finally able to make the cut for the bespoke suit.",Y,,,MM,
EXP494,make the cut,"As a chef, it's important to make the cut correctly to ensure the meat cooks evenly.",Y,,,MM,
EXP495,make the cut,"The sculptor took a deep breath, knowing he had one chance to make the cut right on the marble.",Y,,,MM,
EXP502,free and easy,"The park was open for everyone, offering a free and easy access to nature's beauty.",Y,,,MM,
EXP503,free and easy,He found the software online; it was free and easy to use.,Y,,,MM,
EXP504,free and easy,The seminar offered free and easy learning opportunities for all attendees.,Y,,,MM,
EXP506,with a vengeance,"When she realized she had been cheated on, her anger returned with a vengeance.",Y,,,MM,
EXP508,cut both ways,"The double-edged sword was designed to cut both ways, which made it a deadly weapon in any fight.",Y,,,MM,
EXP509,cut both ways,"During the cooking class, the chef demonstrated how to use a dual-sided peeler that could cut both ways.",Y,,,MM,
EXP510,cut both ways,"While hiking, I always carry a knife that can cut both ways to help me navigate the wilderness.",Y,,,MM,
EXP511,sing the praises of,The choir decided to sing the praises of the Lord in their Sunday service.,Y,,,MM,
EXP512,sing the praises of,"At Christmas, families gather around the fireplace to sing the praises of the holiday season.",Y,,,MM,
EXP513,sing the praises of,"In the tranquil night, the devotees gathered in the temple to sing the praises of their gods.",Y,,,MM,
EXP515,hold the line,"During the fishing trip, he had to hold the line tightly to prevent the big fish from escaping.",Y,,,MM,
EXP523,pull the plug,"While cleaning, she had to carefully pull the plug from the socket to avoid an electrical shock.",Y,,,MM,
EXP524,pull the plug,The electrician instructed me to pull the plug before he began working on the wiring.,Y,,,MM,
EXP525,pull the plug,"Accidentally, the puppy managed to pull the plug of the television out from the wall socket.",Y,,,MM,
EXP526,make a move,"After contemplating for a while, John decided to make a move in the chess game.",Y,,,MM,
EXP527,make a move,"Seeing that the traffic light had turned green, the driver decided to make a move.",Y,,,MM,
EXP528,make a move,"During the dance class, the instructor asked the students to make a move in time with the music.",Y,,,MM,
EXP529,make a meal of,I decided to make a meal of fresh vegetables from the garden.,Y,,,MM,
EXP530,make a meal of,"She taught her kids how to make a meal of simple, healthy ingredients.",Y,,,MM,
EXP531,make a meal of,They had to make a meal of whatever food was left in the pantry.,Y,,,MM,
EXP532,the icing on the cake,"After baking the sponge for an hour, she proceeded to prepare the icing on the cake.",Y,,,MM,
EXP533,the icing on the cake,"The colorful sprinkles were a lovely addition, but it was really the icing on the cake that brought the taste together.",Y,,,MM,
EXP534,the icing on the cake,"As a final touch to his masterpiece, the baker skillfully applied the icing on the cake.",Y,,,MM,
EXP541,in the red,The entire city was bathed in the red glow of the sunset.,Y,,,MM,
EXP542,in the red,"She edited the document, marking all the corrections in the red pen.",Y,,,MM,
EXP543,in the red,"Wrapped in the red silk dress, she looked absolutely stunning.",Y,,,MM,
EXP547,feel the pinch,"When I accidentally sat on my keys, I could really feel the pinch.",Y,,,MM,
EXP548,feel the pinch,"If you wear shoes that are too small, you'll definitely feel the pinch.",Y,,,MM,
EXP549,feel the pinch,"When the crab clamped down on my finger, I could feel the pinch.",Y,,,MM,
EXP550,under the microscope,The scientist spent hours examining the tissue sample under the microscope.,Y,,,MM,
EXP551,under the microscope,She found the previously undiscovered bacterial strain under the microscope.,Y,,,MM,
EXP552,under the microscope,"Under the microscope, the molecular structure became clear.",Y,,,MM,
EXP553,pay the piper,"After the performance, the event organizer had to pay the piper for his services.",Y,,,MM,
EXP554,pay the piper,"She forgot to pay the piper at her wedding, and then had to rush back to the venue.",Y,,,MM,
EXP555,pay the piper,"If you want the piper to play at your festival, remember, you have to pay the piper.",Y,,,MM,"If you want bagpies at your wedding, remember you have to pay the piper."
EXP556,on the trot,The horse was on the trot heading towards the finish line.,Y,,,MM,
EXP557,on the trot,The rider kept his horse on the trot as he surveyed the landscape.,Y,,,MM,
EXP558,on the trot,"She spent the morning on the trot, practicing for her upcoming competition.",Y,,,MM,
EXP565,peaches and cream,She decided to make a delicious summer dessert using fresh peaches and cream.,Y,,,MM,
EXP566,peaches and cream,The taste of ripe peaches and cream melting in her mouth reminded her of her childhood.,Y,,,MM,
EXP567,peaches and cream,He bought a big tub of vanilla ice cream to pair with the peaches and cream pie he was planning to bake.,Y,,,MM,
EXP571,toe the line,"During the race, all the runners were instructed to toe the line before the start signal was given.",Y,Doesn't make sense,,MM,
EXP572,toe the line,"When performing the sobriety test, the officer asked the man to toe the line to check his balance.",Y,,,MM,
EXP574,grasp the nettle,"While exploring the dense forest, I had to literally grasp the nettle to move it out of my path.",Y,,,MM,
EXP575,grasp the nettle,The botanist had to carefully grasp the nettle to study its unique characteristics.,Y,,,MM,
EXP576,grasp the nettle,"During our camping trip, Susan had to bravely grasp the nettle to clear the way for our tent.",Y,,,MM,
EXP580,high and mighty,"The eagle, high and mighty, soared above the vast forest.",Y,,,MM,
EXP581,high and mighty,"The mountain stood high and mighty, casting a long shadow over the valley.",Y,,,MM,
EXP582,high and mighty,"The skyscraper, high and mighty, dominated the city skyline.",Y,,,MM,
EXP586,in the hole,The children spent the afternoon playing in the hole they had dug at the beach.,Y,,,MM,
EXP587,in the hole,She dropped her keys in the hole and couldn't reach them.,Y,,,MM,
EXP588,in the hole,"The rabbit disappeared in the hole, escaping from the fox.",Y,,,MM,
EXP598,take the fall,"During the hiking trip, Joe slipped on a rock and had to take the fall into the river below.",Y,,,MM,
EXP599,take the fall,"In an attempt to showcase his parkour skills, he decided to take the fall from the rooftop.",Y,,,MM,
EXP600,take the fall,"While practicing her gymnastics routine, she misjudged her landing and had to take the fall on the mat.",Y,,,MM,
EXP604,in the offing,"The ship was in the offing, soon to dock at the harbor.",Y,,,MM,
EXP605,in the offing,"Through the mist, I could just make out a lighthouse in the offing.",Y,,,MM,
EXP606,in the offing,"As the sun set, a small fishing boat was spotted in the offing, heading back to shore.",Y,,,MM,
EXP619,ride roughshod over,"The reckless horseman decided to ride roughshod over the soft meadow, damaging the fragile flowers in his path.",Y,,,MM,
EXP620,ride roughshod over,"In the wild west, outlaws would often ride roughshod over the boundaries of farms, causing mayhem and destruction.",Y,,,MM,
EXP621,ride roughshod over,"Despite the warnings, the knight chose to ride roughshod over the freshly planted fields, leaving the farmers in despair.",Y,,,MM,
EXP634,crash and burn,"During the air show, the plane spiraled out of control and we watched in horror as it was about to crash and burn.",Y,,,MM,
EXP635,crash and burn,"The race car driver lost control of the wheel, leading his car to crash and burn.",Y,,,MM,
EXP636,crash and burn,"The rocket malfunctioned during launch, resulting in a devastating crash and burn.",Y,,,MM,"The rocket malfunctioned shortly after launch, resulting in a devasting crash and burn."
EXP637,dyed in the wool,"The artisan had a collection of yarn, dyed in the wool, for her weaving workshop.",Y,,,MM,"The artisan had a collection of yarns, with colours dyed in the wool, for her weaving workshop."
EXP638,dyed in the wool,"In the small village, they practiced an ancient technique of getting vibrant colors dyed in the wool.",Y,,,MM,"In the small village, they practiced an ancient technique of getting vibrant colors to be dyed in the wool."
EXP639,dyed in the wool,The hues of the sunset were as radiant as the colors dyed in the wool hanging in her studio.,Y,,,MM,
EXP643,go to the mat,"After his workout, he was so tired that all he could do was go to the mat and stretch his sore muscles.",Y,,,MM,
EXP644,go to the mat,The yoga instructor instructed the class to go to the mat for the next pose.,Y,,,MM,
EXP645,go to the mat,"In the gym, the trainer directed me to go to the mat for floor exercises.",Y,,,MM,
EXP646,fight fire with fire,"As a firefighter, he was taught to fight fire with fire, using controlled burns to stop the spread of a wildfire.",Y,,,MM,
EXP647,fight fire with fire,"But in this case, the only option was to fight fire with fire, igniting a backfire to halt its destructive path.",Y,,,MM,
EXP648,fight fire with fire,"Despite the risks, they had to fight fire with fire, using the same force the fire was using to consume the forest.",Y,,,MM,
EXP652,all over the place,"After the kids' party, there were crumbs and wrappers all over the place.",Y,,,MM,
EXP653,all over the place,"When the earthquake struck, books were thrown all over the place.",Y,,,MM,
EXP654,all over the place,The artist splashed paint all over the place to create his abstract piece.,Y,,,MM,
EXP664,grind to a halt,The heavy machinery began to squeak loudly before it started to grind to a halt.,Y,,,MM,
EXP665,grind to a halt,The old rusty bike would often grind to a halt after a few minutes of usage.,Y,,,MM,
EXP666,grind to a halt,The train screeched and slowly began to grind to a halt at the station.,Y,,,MM,
EXP670,in a nutshell,The tiny seed was encased in a nutshell.,Y,,,MM,
EXP671,in a nutshell,He found a small creature living in a nutshell.,Y,,,MM,
EXP676,rise and shine,"As soon as the sun began to rise and shine, the entire valley was bathed in a golden glow.",Y,,,MM,
EXP680,take a back seat,"The toddler refused to sit in his car seat, so his mom had to take a back seat with him.",Y,,,MM,
EXP691,take a bath,"After a long day at work, all I wanted to do was to take a bath and go to bed.",Y,,,MM,
EXP692,take a bath,My mother reminded me to take a bath before dinner.,Y,,,MM,
EXP693,take a bath,I like to take a bath with lavender oil and Epsom salts for relaxation.,Y,,,MM,
EXP701,bury the hatchet,"In an odd ritual, the group decided to bury the hatchet deep in the soil as a symbol of peace.",Y,,,MM,
EXP702,bury the hatchet,"The children, playing pirates, drew a map to where they would bury the hatchet, their imagined treasure.",Y,,,MM,
EXP703,in the soup,"After our picnic, we accidentally dropped the phone in the soup.",Y,,,MM,
EXP704,in the soup,She was trying to retrieve the ladle that had fallen in the soup.,Y,,,MM,
EXP705,in the soup,The chef was furious when he found a fly in the soup.,Y,,,MM,
EXP715,grease the wheels,"Before the long car journey, John had to grease the wheels to ensure a smooth ride.",Y,,,MM,
EXP716,grease the wheels,"In the old mill, it was necessary to frequently grease the wheels to keep the machinery working.",Y,,,MM,
EXP717,grease the wheels,"The bicycle was making a screeching noise, so I had to grease the wheels.",Y,,,MM,
EXP718,apples and oranges,My grandmother prepared a healthy snack of apples and oranges.,Y,,,MM,
EXP719,apples and oranges,The fruit basket was filled with brightly colored apples and oranges.,Y,,,MM,
EXP720,apples and oranges,"Whenever I visit the farmer's market, I always buy fresh apples and oranges.",Y,,,MM,
EXP721,follow in someone's footsteps,The little boy was always eager to follow in his father's footsteps during their beach walks.,Y,Form changed,,MM,"The little boy was always eager to follow in his father's footsteps in the sand, during their beach walks."
EXP722,follow in someone's footsteps,"During the hike, she was careful to follow in her guide's footsteps to avoid stepping on dangerous plants.",Y,Form changed,,MM,
EXP723,follow in someone's footsteps,"As an astronaut, he had to follow in his commander's footsteps during their moon landing.",Y,Form changed,,MM,"As an astronaut, he had to follow in his comamnder's footsteps whilst navigating the harsh conditions on the moon."
EXP724,under the wire,The rabbit darted under the wire fence to escape the pursuing fox.,Y,,,MM,
EXP725,under the wire,"After cutting a small hole, the spy crawled under the wire to infiltrate the enemy base.",Y,,,MM,
EXP726,under the wire,The vine grew so tall that it eventually twined under the wire of the trellis.,Y,,,MM,
EXP727,out of the blue,"While sailing, a huge whale leaped out of the blue ocean, startling everyone on the boat.",Y,,,MM,
EXP728,out of the blue,"He stared out of the airplane window, awestruck by the birds flying high out of the blue sky.",Y,,,MM,
EXP729,out of the blue,"As she looked out to the horizon, a ship appeared out of the blue sea.",Y,,,MM,
EXP731,over the moon,"We received a transmission from the spaceship, confirming that they were indeed over the moon.",Y,,,MM,
EXP732,over the moon,"The satellite, now over the moon, started collecting invaluable data about its surface.",Y,,,MM,
EXP734,throw down the gauntlet,"During the medieval tournament, the knight decided to throw down the gauntlet to challenge his opponent.",Y,,,MM,
EXP735,throw down the gauntlet,"In a dramatic gesture, he chose to throw down the gauntlet, signaling his readiness for the duel.",Y,,,MM,
EXP736,take the bull by the horns,"In the heart of Spain, Juan decided to take the bull by the horns during the annual bullfight.",Y,,,MM,
EXP737,take the bull by the horns,"Despite his fear, the matador knew he had to take the bull by the horns to impress the crowd.",Y,,,MM,
EXP738,take the bull by the horns,"In a show of unparalleled courage, the young fighter chose to take the bull by the horns, risking his life in the process.",Y,,,MM,
EXP748,over the top,The hiker had to climb over the top of the mountain to reach their destination.,Y,,,MM,
EXP749,over the top,The kid reached his hand over the top of the jar to grab a cookie.,Y,,,MM,
EXP750,over the top,She had to throw the ball over the top of the fence to get it back into her yard.,Y,,,MM,
EXP754,sweetness and light,The kitchen was filled with the sweetness and light of freshly baked cookies and morning sunlight.,Y,,,MM,
EXP756,sweetness and light,She loved the late afternoons when her home was filled with the sweetness and light of her homemade lemonade and the rays of the setting sun.,Y,,,MM,
EXP763,behind someone's back,The cat jumped on the counter behind someone's back while they were cooking.,Y,,,MM,
EXP764,behind someone's back,She noticed a spider crawling up the wall behind someone's back during the meeting.,Y,,,MM,
EXP767,on the ropes,The children were having fun playing on the ropes in the park.,Y,,,MM,
EXP769,take the cake,"For her birthday, all she wanted to do was to take the cake home and enjoy it in peace.",Y,,,MM,
EXP770,take the cake,Diane had to be careful to not drop anything as she was assigned to take the cake to the party.,Y,,,MM,
EXP771,take the cake,"After the celebration was over, they decided to take the cake and distribute it among the homeless.",Y,,,MM,
EXP772,dig up dirt,"While searching for the old coins he had buried years ago, he had to dig up dirt from various spots in his backyard.",Y,,,MM,
EXP773,dig up dirt,The archaeologists had to dig up dirt carefully to uncover the ancient artifacts.,Y,,,MM,
EXP774,dig up dirt,"In an attempt to plant new trees in the garden, they had to dig up dirt to make room for the saplings.",Y,,,MM,
EXP775,left and right,"He turned his head left and right, trying to find the source of the noise.",Y,,,MM,
EXP778,dead in the water,"The old fishing boat was found dead in the water, floating aimlessly in the middle of the lake.",Y,,,MM,
EXP779,dead in the water,"After the storm, many fish were dead in the water, having been unable to survive the harsh conditions.",Y,,,MM,
EXP780,dead in the water,The sailor feared his ship would be dead in the water if he could not repair the engine quickly.,Y,,,MM,
EXP785,take no prisoners,"The ruthless pirates adhered to a brutal code of 'take no prisoners', leaving no survivors in their wake.",Y,,,MM,
EXP788,run out of steam,The steam iron couldn't finish the job as it run out of steam.,Y,,,MM,
EXP790,take a hike,"On our vacation, we decided to take a hike up the mountain to enjoy the beautiful view.",Y,,,MM,
EXP791,take a hike,"If you're feeling stressed, it can be beneficial to take a hike in nature and breath in the fresh air.",Y,,,MM,
EXP792,take a hike,"After setting up camp, we decided to take a hike and explore the surrounding area.",Y,,,MM,
EXP803,go the extra mile,"While most tourists were content with viewing the mountain from the base, our adventurous group decided to go the extra mile and climb to the summit.",Y,,,MM,
EXP805,under a cloud,"As the children played football in the park, they found themselves suddenly under a cloud, and rain began to pour down.",Y,,,MM,
EXP806,under a cloud,"The picnic was less enjoyable when we had to eat our sandwiches under a cloud, shielding our food from potential rain.",Y,,,MM,
EXP807,under a cloud,"The small plane flew under a cloud, giving the passengers a temporary relief from the strong sunlight.",Y,,,MM,
EXP811,in someone's pocket,"While searching, she found a forgotten love letter in someone's pocket.",Y,,,MM,
EXP812,in someone's pocket,The detective found the crucial evidence in someone's pocket.,Y,,,MM,
EXP813,in someone's pocket,The little boy was surprised to discover a shiny coin in someone's pocket.,Y,,,MM,
EXP829,on the shelf,The old books were collecting dust on the shelf.,Y,,,MM,
EXP830,on the shelf,She carefully placed the antique vase on the shelf.,Y,,,MM,
EXP831,on the shelf,He noticed that the family photos were slightly tilted on the shelf.,Y,,,MM,
EXP836,pound the pavement,The construction workers had to pound the pavement to make way for a new road.,Y,,,MM,
EXP842,cut and thrust,The blacksmith demonstrated the cut and thrust techniques with his newly forged sword.,Y,,,MM,
EXP843,cut and thrust,"The cut and thrust of the samurai's blade was swift and precise, leaving spectators in awe.",Y,,,MM,
EXP844,song and dance,The theater was alive with the sound of song and dance.,Y,,,MM,
EXP845,song and dance,"Their wedding was full of joy, filled with song and dance late into the night.",Y,,,MM,
EXP846,song and dance,"He expressed his happiness through his favorite form of art, song and dance.",Y,,,MM,
EXP848,turn the tables,The movers had to turn the tables to get them through the narrow doorway.,Y,,,MM,
EXP849,turn the tables,"When the carpet was being replaced, they had to turn the tables to clear the floor.",Y,,,MM,
EXP853,over the hill,The hikers needed to rest after getting over the hill.,Y,,,MM,
EXP854,over the hill,She could see her house just over the hill.,Y,,,MM,
EXP855,over the hill,The sun was rising from over the hill.,Y,,,MM,
EXP858,out of the loop,"The defective conveyor belt in the factory meant that the boxes kept falling out of the loop, disrupting the packaging process.",Y,,,MM,
EXP859,drop the ball,"During the championship game, the quarterback was so nervous he managed to drop the ball.",Y,,,CH,
EXP862,the buck stops here,"While hunting, they established a boundary line and stated firmly, 'the buck stops here'.",Y,,,CH,
EXP863,the buck stops here,"At the wildlife reserve, the rangers had put up a sign saying, 'the buck stops here' to indicate the feeding area.",Y,,,CH,
EXP864,the buck stops here,"In the middle of the trail, there stood a deer, as if to say 'the buck stops here'.",Y,,,CH,
EXP871,on the rocks,"While hiking, they stopped for a moment, sitting on the rocks to enjoy the serene view.",Y,,,CH,
EXP872,on the rocks,She placed her glass on the rocks to prevent it from tipping over.,Y,,,CH,
EXP873,on the rocks,The adventurous kid was seen skipping joyously on the rocks by the stream.,Y,,,CH,
EXP880,break someone's heart,"When the doctor said that the surgery might actually break someone's heart, everyone in the room gasped in horror.",Y,,,CH,
EXP881,break someone's heart,The medical report stated a strange case where a minor accident did break someone's heart physically.,Y,,,CH,
EXP882,break someone's heart,"In the medical literature, there are very few cases where extreme physical exertion could potentially break someone's heart.",Y,,,CH,
EXP885,steal someone's thunder,"In the fantasy world, the wicked witch could steal someone's thunder, using it to increase her own magical powers.",Y,,,CH,
EXP887,slap on the wrist,She accidentally got a slap on the wrist while reaching for the same book as another library patron.,Y,,,CH,
EXP888,slap on the wrist,The overly excited puppy gave him a slap on the wrist with his paw.,Y,,,CH,
EXP889,on the make,The construction workers were on the make of a new skyscraper downtown.,Y,,,CH,
EXP890,on the make,"She was on the make of a beautiful, hand-knit sweater for her grandson.",Y,,,CH,
EXP891,on the make,The bakery was on the make of a large wedding cake for the weekend's event.,Y,,,CH,
EXP895,things that go bump in the night,"As a child, she was always afraid of things that go bump in the night, so her parents had to check under her bed before she could sleep.",Y,,,CH,
EXP896,things that go bump in the night,"He was a paranormal investigator, dedicating his life to understanding the things that go bump in the night.",Y,,,CH,
EXP897,things that go bump in the night,"During camping trips, the family would often hear things that go bump in the night, adding an extra layer of excitement to their adventures.",Y,,,CH,
EXP898,push the boat out,"As the sun began to rise, the fisherman decided to push the boat out and start his day early.",Y,,,CH,
EXP899,push the boat out,"Before the storm hit, they had to push the boat out to prevent it from getting damaged on the shore.",Y,,,CH,
EXP900,push the boat out,"With the lifeguard's whistle echoing in their ears, they knew they had to push the boat out quickly to reach the struggling swimmers.",Y,,,CH,
EXP910,smell a rat,"As soon as she opened the basement door, she could smell a rat, confirming her fears of an infestation.",Y,,,CH,
EXP911,smell a rat,"He walked into the old shed and immediately began to smell a rat, indicating something had found its way in.",Y,,,CH,
EXP912,smell a rat,"While cleaning the attic, she started to smell a rat, leading her to discover a nest in the corner.",Y,,,CH,
EXP928,shoot the messenger,"In the middle of the war, he was ordered to shoot the messenger who was delivering the enemy's terms.",Y,,,CH,
EXP929,shoot the messenger,"Despite her pleas, they decided to shoot the messenger when he arrived with the news of the invasion.",Y,,,CH,
EXP930,shoot the messenger,Victor was forced to shoot the messenger when he discovered he was working for the rival gang.,Y,,,CH,
EXP937,wake up and smell the coffee,"Every morning, he would wake up and smell the coffee his wife had kindly brewed for him.",Y,,,CH,
EXP938,wake up and smell the coffee,"After a long night of studying, nothing was better than to wake up and smell the coffee brewing in the kitchen.",Y,,,CH,
EXP939,wake up and smell the coffee,His favorite part of the day was when he could wake up and smell the coffee beans roasting in the pot.,Y,,,CH,
EXP943,fun and games,The children's party was full of fun and games.,Y,,,MM,
EXP944,fun and games,"Every Christmas, our family gathering is always filled with fun and games.",Y,,,MM,
EXP945,fun and games,The picnic at the park turned into an afternoon of fun and games.,Y,,,MM,
EXP947,cast the first stone,"During the ancient ritual, the high priest was always the one to cast the first stone into the sacred well.",Y,,,CH,
EXP948,cast the first stone,"In the reenactment of the historical event, the actor playing the rebel leader was directed to cast the first stone.",Y,,,CH,
EXP952,kick the bucket,"While cleaning the barn, John accidently kick the bucket full of milk.",Y,,,MM,
EXP953,kick the bucket,"As she was running around, the toddler managed to kick the bucket of toys across the room.",Y,,,MM,
EXP954,kick the bucket,"In his rush to catch the bus, he didn't see and kick the bucket of paint lying on the street.",Y,,,MM,
EXP961,fly a kite,"On sunny weekends, my family loves to go to the park and fly a kite.",Y,,,MM,
EXP962,fly a kite,It was so windy outside that it was the perfect weather to fly a kite.,Y,,,MM,
EXP963,fly a kite,"When I was a child, I learnt how to make and fly a kite.",Y,,,MM,
EXP968,in the clear,"The full moon hung in the clear, cloudless sky, casting long shadows on the ground.",Y,,,CH,
EXP969,in the clear,"After the dust storm passed, we emerged from our shelter to find ourselves in the clear desert landscape.",Y,,,CH,
EXP970,have a few,I want to have a few books on philosophy in my library.,Y,,,CH,
EXP971,have a few,They decided to have a few days off to relax and recharge.,Y,,,CH,
EXP972,have a few,She suggested that we have a few slices of cake left for dessert.,Y,,,CH,
EXP976,to the hilt,The knight thrust his sword to the hilt into the dragon's hide.,Y,,,CH,
EXP977,to the hilt,She pushed the shovel to the hilt into the earth to plant the tree.,Y,,,CH,
EXP978,to the hilt,He plunged the knife to the hilt into the watermelon.,Y,,,CH,
EXP985,open the floodgates,"After days of torrential rain, the city officials decided to open the floodgates of the dam to prevent any damage.",Y,,,CH,
EXP986,open the floodgates,The engineer was instructed to open the floodgates to alleviate the pressure building up in the reservoir.,Y,,,CH,
EXP987,open the floodgates,"During the annual boating competition, they had to open the floodgates to ensure enough water was in the canal.",Y,,,CH,
EXP1003,throw the book at,"After his fit of anger, he decided to throw the book at the wall.",Y,,,CH,
EXP1004,throw the book at,"In her frustration with the confusing plot, she decided to throw the book at the window.",Y,,,CH,
EXP1005,throw the book at,"Exhausted and unable to concentrate any longer, he chose to throw the book at the door and go to bed.",Y,,,CH,
EXP1006,when the chips are down,"When the chips are down on the poker table, the game becomes intense.",Y,,,CH,
EXP1007,when the chips are down,He always eats his sandwich first and saves his lunch for when the chips are down.,Y,,,CH,
EXP1009,between a rock and a hard place,"During our hiking trip, we found a rare flower growing between a rock and a hard place.",Y,,,CH,
EXP1010,between a rock and a hard place,The mouse quickly escaped the cat by disappearing between a rock and a hard place.,Y,,,CH,
EXP1013,put down roots,"To flourish, the small seedling must put down roots deep into the fertile soil.",Y,,,CH,
EXP1014,put down roots,The gardener advised me to put down roots of the new flowers before the onset of winter.,Y,,,CH,
EXP1015,in your dreams,"In your dreams, you often encounter strange, surreal landscapes.",Y,,,CH,
EXP1017,in your dreams,"He told me that in your dreams, you can sometimes perceive future events.",Y,,,CH,
EXP1019,short and sweet,"Her new haircut was short and sweet, making her look younger and more vibrant.",Y,,,CH,
EXP1024,cut and dried,"After the harvest, the herbs were cut and dried for winter use.",Y,,,CH,
EXP1025,cut and dried,She cut and dried the flowers to preserve their vibrant colors.,Y,,,CH,
EXP1026,cut and dried,"Once the fruit was cut and dried, it could be stored for a long time.",Y,,,CH,
EXP1027,six of the best,"For her birthday party, she selected six of the best dresses from her wardrobe.",Y,,,CH,
EXP1028,six of the best,The coach chose six of the best players for the upcoming tournament.,Y,,,CH,
EXP1029,six of the best,The bakery displayed six of the best pastries for the customers to sample.,Y,,,CH,
EXP1033,behind closed doors,The cat was hiding behind closed doors during the thunderstorm.,Y,,,CH,
EXP1034,behind closed doors,We could hear laughter coming from behind closed doors.,Y,,,CH,
EXP1035,behind closed doors,He found the secret treasure hidden behind closed doors in the ancient mansion.,Y,,,CH,
EXP1036,clear the decks,"Before we can set sail, we need to clear the decks of all unnecessary items.",Y,,,CH,
EXP1037,clear the decks,"During the storm, the captain ordered to clear the decks to avoid any loose objects from causing harm.",Y,,,CH,
EXP1038,clear the decks,"After the party, we had to clear the decks of cups and plates.",Y,,,CH,
EXP1039,on the game,"He stayed up all night with his friends, focused on the game they were playing.",Y,,,CH,
EXP1040,on the game,She offered some strategic advice based on the game's current situation.,Y,,,CH,
EXP1041,on the game,"Their eyes were glued on the screen, entirely engrossed on the game.",Y,,,CH,
EXP1049,with open arms,She ran towards her best friend with open arms after not seeing her for years.,Y,,,CH,
EXP1050,with open arms,"Upon seeing his lost dog, the boy rushed to him with open arms.",Y,,,CH,
EXP1051,flash in the pan,"While cooking dinner, a sudden flash in the pan startled me.",Y,,,CH,
EXP1052,flash in the pan,"As I added the wine, there was a bright flash in the pan.",Y,,,CH,
EXP1053,flash in the pan,"The oil was too hot, causing a dangerous flash in the pan.",Y,,,CH,
EXP1060,rough around the edges,"The old wooden table was rough around the edges, needing a good sanding.",Y,,,CH,
EXP1061,rough around the edges,"I noticed the freshly cut paper was rough around the edges, signifying a blunt blade on the cutter.",Y,,,CH,
EXP1064,fly off the handle,"While they were playing baseball, a strong swing made the bat fly off the handle.",Y,,,CH,
EXP1065,fly off the handle,She was so startled by the mouse in the room that she threw the pan and made it fly off the handle.,Y,,,CH,
EXP1066,see the light,"After days of being trapped in the dark cave, they finally began to see the light at the entrance.",Y,,,CH,
EXP1067,see the light,"As sunrise approached, we began to see the light creeping in through the gaps in the curtains.",Y,,,CH,
EXP1068,see the light,"She was lost in the dense forest, but managed to see the light through the trees which led her to a clear path.",Y,,,CH,
EXP1078,pour cold water on,"While cleaning the kitchen, he needed to pour cold water on the hot pan to cool it down.",Y,,,CH,
EXP1079,pour cold water on,"After an intense workout, she would often pour cold water on her face to feel refreshed.",Y,,,CH,
EXP1080,pour cold water on,He accidentally burned his hand on the oven and had to quickly pour cold water on the wound to soothe it.,Y,,,CH,
EXP1081,fire in the belly,"The chef accidentally spilled hot sauce, causing a literal fire in the belly of the iron statue.",Y,,,CH,
EXP1082,fire in the belly,"During the performance, the magician wowed the audience by creating a fire in the belly of the dragon prop.",Y,,,CH,
EXP1083,fire in the belly,The science experiment went wrong and caused a fire in the belly of the model volcano.,Y,,,CH,
EXP1084,get a grip,"During the rock climbing session, the instructor yelled at him to get a grip or he would fall.",Y,,,CH,
EXP1085,get a grip,He struggled to get a grip on the slippery glass jar of pickles.,Y,,,CH,
EXP1086,get a grip,"In order to complete the pull-up, she had to get a grip on the bar above her head.",Y,,,CH,
EXP1090,in the loop,The hikers got stuck in the loop of the mountain trail and had to backtrack their steps.,Y,,,CH,
EXP1091,in the loop,The children played endlessly in the loop of the rollercoaster ride simulation game.,Y,,,CH,
EXP1092,in the loop,The kite got caught in the loop at the top of the tree.,Y,,,CH,
EXP1102,fly in the face of,The angry birds would often fly in the face of the intruders to protect their nests.,Y,,,CH,
EXP1103,fly in the face of,"As the dust storm grew stronger, particles of sand would fly in the face of the travelers, making it difficult for them to see.",Y,,,CH,
EXP1105,get the boot,"After a long hike, he was relieved to finally get the boot off his swollen foot.",Y,,,CH,
EXP1107,get the boot,The cowboy struggled to get the boot out of the stirrup after falling off his horse.,Y,,,CH,
EXP1108,on and off,The lights kept flickering on and off during the storm.,Y,,,CH,
EXP1109,on and off,He toggled the switch on and off a few times to test the circuit.,Y,,,CH,
EXP1110,on and off,"The TV was turning on and off by itself, which suggested a possible fault.",Y,,,CH,
