,Idiom,Sentence
257,keep tabs on,"‘ You 've decided to finish this ridiculous business of keeping tabs on me , then?’"
258,keep tabs on,"Actually , we decided after a bit that there was nothing very sinister about Sun , but that he is just an auxiliary comrade who helps to keep tabs on us , makes sure we do n't get lost in the crowd , etc ."
259,keep tabs on,A psychologist will keep tabs on teams of youngsters and will stop the operation if they show signs of stress .
260,get the picture,To get a true picture it is important to watch a wide cross section of paddlers with a range of different backgrounds .
261,get the picture,""" Yes , quite … you've got the picture — time to go ! """
262,get the picture,"According to these employers it was teachers who needed WE more than pupils , so that they could get a picture of what engineering was really like ( as opposed to media misrepresentations — strikes , redundancies , etc . ) and so put across a ' good image ' of engineering , hopefully attracting the ' brighter pupils'into the industry ."
263,look the other way,"However , the San Franciscan police usually look the other way when drug workers swap needles , sometimes by putting clean syringes in a pram and inviting junkies to step up and feed ‘ the baby’ ."
264,look the other way,"Of course , I did n't know then that he was responding , in the standard fashion , to the powerful combination of a girl ( any girl ) , the darkness , and a roomful of adults all looking the other way ."
265,look the other way,"It may even be morally permissible to kill the child ; but the criminal law neither now nor in the future will countenance this , though it may look the other way from time to time ."
266,burst someone's bubble,So hopefully he 's going to burst West Ham 's pretty bubbles ?
267,burst someone's bubble,"‘ Hopefully we can go out and beat them , it 'd be great to burst their bubble.’"
268,burst someone's bubble,But she refused to allow his surliness to burst her bubble of well - being .
269,fall in line,"Of course there is a deterring - effect if one knows that one 's going to go not into a discussion where various points of view will be weighed and gradually a view may be achieved , but into a huge argument where tremendous battle lines will be drawn up and everyone who does n't fall in line will be hit on the head ."
270,fall in line,At the same time it is my belief that while we were do doing the footings we can also the concrete to fall in line where we will erm put the main floor in .
271,fall in line,"With mortgage rates falling in line with base rates , Mr Bootle said headline inflation would drop below 1pc early next year with underlying inflation moving up slightly to around 3pc at the year - end ."
272,water under the bridge,It 's all water under the bridge ; you do n't want to hear it — I 'm sorry if you feel I 've been unfair to you .
273,water under the bridge,"‘ It 's water under the bridge now,’ I said ."
274,water under the bridge,But it 's all water under the bridge for this season and Linfield must now concentrate on bridging the gap between themselves and their Danish visitors .
275,keep a lid on,Polly recognised Nathan 's insistence on her learning how to navigate as an attempt to keep the lid on a situation which was escalating rapidly out of control .
276,keep a lid on,The government in 1989 had to appoint a special transport minister for Docklands ( Mr Portillo ) to keep the lid on the widespread anger of developers about the lack of transport to Docklands .
277,keep a lid on,"The new year , 1989 , opened with the government barely keeping a ' lid ' on the situation ."
278,down the drain,"There are fears of family life going down the drain , as staff may get only two complete weekends off in seven ."
279,down the drain,How much money is IBM pouring down the drain with OS/2 ?
280,down the drain,"If they can achieve that , and get it patented , all your hard work goes down the drain ."
281,make the cut,"Grady slipped with a 75 but made the cut , as did Roger Davis with a splendid 68 to retrieve his position after a first round of 77 ."
282,make the cut,"a number of the savings erm and the increased income that is available to , to avoid savings are the result of your own policies developed over a number of years and I hope implemented with a degree of further manage managerial action which has actually given you some money to spend , erm which will avoid you having to make er painful cuts in order to fund a new growth and in particular I would highlight the significant movement that has has now taken place , children from special educational needs provision outside the county , back into the county ."
283,make the cut,"The only place where we could make cuts , without resetting the entire piece , was in the last paragraph ."
284,free and easy,In these free - and - easy days people are making their own rules already .
285,free and easy,"Alamena , Boz 's wife , is making life difficult for her , telling her she 's not to leave the camp and that she 's too free and easy with everyone ."
286,free and easy,Villa Sylvia — free and easy holiday style
287,with a vengeance,"On one level The Freshman works exceedingly well , its clever - clever script and free - and - easy exploitation of Matthew Broderick and , remarkably , Marlon Brando find ways to make an audience laugh with a slick vengeance ."
288,cut both ways,"Walsh , chugging along on two cylinders for most of the match , suddenly sparked to life , making the ball cut both ways and always liable to produce one that scuttled through ."
289,cut both ways,"There was some discussion as to hardship , but that could cut both ways according to whether a large or small part was surrendered , so that hardship was not a matter which could be taken into account ."
290,cut both ways,It had occurred to some popular frontists that rearmament as an instrument of social control could cut both ways .
291,sing the praises of,"Having sung the praises of swimfeeders I must point out that I do not think they are the be - all and end - all of barbel fishing , specially for the very big ones ."
292,sing the praises of,"However , the Botswana bushmen delegation at the Namibia meeting was described by Survival International as a hand - picked group who did nothing but sing the praises of their government ."
293,sing the praises of,"FROM LONDON 'S Guildhall to exotic ships , they 're singing the praises of Beeton Rumford ."
294,hold the line,Just hold the line .
295,pull the plug,"IN view of all the talk about a resumption of political talks , I 've been looking at the last word of the Ulster Unionists on the subject , delivered just before the plug was pulled last October ."
296,pull the plug,THE BRITISH government has decided to pull the plug on a European investigation into what happens when a pressurised - water reactor goes badly wrong .
297,pull the plug,"Following a decision earlier in the year to scale down its workstation business,(UX No 368 ) Solbourne Computer Inc , Longmont , Colorado , has pulled the plug on its direct sales operations in Europe , claiming ‘ lack of business.’"
298,make a move,"Luke made no move , just looked at her , his gaze one of incredulity and shock , and Robyn felt as bad as she had ever felt in her life ."
299,make a move,"When , on 13 July , Calvo Sotelo was assassinated by Republican police in retaliation for the killing of one of their number by a Falangist , the rebels had the perfect pretext for making their move ."
300,make a move,He 's impressed a number of Premier League managers but Venables will be the first to make a move .
301,make a meal of,However the Americans are so helpful and flexible that if a starter does particularly take your fancy you are perfectly welcome to make a meal of that and nothing else .
302,make a meal of,"I do not want to make a meal of this , but the point has obviously been well made ."
303,make a meal of,"The police would go through the motions , but they would n't make a meal of it ."
304,the icing on the cake,"Sponsorship should of course be the icing on the cake , there should be enough in , in competition in regattas and themselves but people are interested enough to go and to support and that sponsorship actually allows you to do things that you would n't have been able to do otherwise ."
305,the icing on the cake,More goals would have been the icing on the cake.’
306,the icing on the cake,‘ If people in Liverpool like it that will be the icing on the cake.’
307,in the red,"Last winter 's storm damage pay - outs have battered profits for the big insurance companies , threatening to push up house cover premiums ; half - year profits for Sun Alliance show the firm £ 190,000,000 in the red , compared with 191,000,000 in profit at the same time last year ."
308,in the red,"BR 's Trainload Freight operation , which carries bulk loads such as coal , aggregates and scrap metal , is profitable ( though Railfreight Distribution , handling miscellaneous freight by the wagonload , is still deeply in the red ) ."
309,in the red,"And that 's why the Ross on Wye firm say its business is booming , while Jensen is more than half a million pounds in the red ."
310,feel the pinch,BITTER BLOW : Beer sales are feeling the pinch
311,feel the pinch,"In addition , parish priests were feeling the pinch through reduced income from alms and tithes ."
312,feel the pinch,"Feeling the pinch after Compaq Computer Corp 's recent price reductions , ZDS says it 's also working to bring its pricing policies more in line with its competition ."
313,under the microscope,Another topic which has come under the SAC microscope was the absolute necessity of farmers calculating the correct option when claiming the various subsidies .
314,under the microscope,"It 's a guy thing , the kind of guy thing which Reservoir Dogs puts under the microscope ."
315,under the microscope,"After focusing on nursery rhymes and Enid Blyton , the political puritans now have the legacy of the celebrated 19th century Danish storyteller under their microscope ."
316,pay the piper,Her benefits were therefore not so much economic as political : he who pays the piper calls the tune .
317,pay the piper,Is it time to pay the piper .
318,pay the piper,Who pays the piper …
319,on the trot,"And as I say , there was always one I remember that sticks passively in my mind when she came over in one December five weekends on the trot !"
320,on the trot,City have won twice on the trot away from home — scoring six goals in the process — and have talent that could flatten the party like a ton of bricks .
321,on the trot,6 clean sheets on the trot ( although some of those were cup games ) .
322,peaches and cream,"By now the "" peaches and cream "" teenager was in her forties , and grey haired , with nine children to feed and clothe ."
323,peaches and cream,"A young Salvation Army lassie with black curly hair , brown eyes and a peaches and cream complexion had caught his eye ."
324,toe the line,"It is not so much the whips as the local constituency activists who indirectly but effectively apply sanctions ( such as not readopting him or her ) to keep the overwhelming majority of MPs toeing the party line , and government control very tight ."
325,toe the line,"Well I suppose a very junior clerk , the first job I was given was , well it 's unheard of in this day and age but what they had was what they call a bundi clock and there every driver and conductor had got a key that was inserted in this clock and on it was his personal number , well when he reported for duty , he inserted this key into the clock , turned the handle and stamped on to a piece of paper , a roll of paper , his number and the time he reported and the next day it was my job to go through and record from this piece of paper how many minutes they were late f reporting for duty and if they erm were more than , I think about three or four minutes we had to send them a memo telling them , that 's how things were in those days that people were , they toed the line or else ."
326,grasp the nettle,"When the right hon . Gentleman came to that office , he had the opportunity to grasp the nettle of prison reform ."
327,grasp the nettle,"We are indebted to Beumont et al for having grasped the nettle in laying down the grade at which a girl or woman can expect to be respected as a climber and transcend the status defined by ‘ bimbo,’ i.e. interesting only if she happens to be pretty ."
328,grasp the nettle,He immediately commands attention by grasping the nettle of the difficulty that the lord feels in combining the apparently opposing demands on his natural gifts .
329,high and mighty,"’ Well , Emily can be a bit high and mighty herself at times.’"
330,high and mighty,"I 'm a respectable woman , and I wo n't have no ‘ goings on’ , not if you were ever so high and mighty , the pair of you ."
331,high and mighty,Buckinghamshire are playing Leicestershire … just the day for a game of cup cricket … just the day for the local people to come out and see if their team could knock down one of the high and mighty …
332,in the hole,"But if it was over tomorrow I said it 's still left our lads in quite er hole financially , and we shall still need that ."
333,in the hole,"But as he inspected the size of the Tories ' losses on May 6th even the home secretary , Kenneth Clarke , usually a man to find a silver lining in the blackest cloud , admitted that the government was in ' a dreadful hole ' ."
334,in the hole,"After three hours in the casino , he 's $ 2,000 in the hole ."
335,take the fall,"But , of course , it would be delightful if she took a fall ."
336,take the fall,But how many of those blokes carrying signs outside Black Comedy can take the falls I do eight times a week ?
337,take the fall,The Volkswagen - Audi group took a heavy fall with sales down from 1194 to 6943 .
338,in the offing,"With all this and North Sea ( some would say Scottish ) oil in the offing , who was to say we were unfit to govern ourselves ?"
339,in the offing,There was also a British General Election in the offing .
340,in the offing,"With a General Election in the offing the Ballot provided a perfect framework for opposition parties to co - operate in setting the foreign policy agenda , without in any way compromising their own independence ."
341,ride roughshod over,"Instead they set out to ride roughshod over the legislative branch , attempting to govern without congress rather than with it ."
342,ride roughshod over,He accused the council of riding roughshod over the views of Middlesbrough people .
343,ride roughshod over,"Havelock Wilson 's later reputation in the trade union movement as a "" bosses "" man "" , an imperialist , an anti - democrat riding roughshod over his members ' wishes and a betrayer of the miners ' cause during the 1926 General Strike diverges strangely from his earlier image as a militant , a rabble - rouser , a fearless advocate of the seafarer , "" stumping the country agitating , organising and inciting "" , and as an advocate , even an originator , of the "" new unionism""which shook the trade union establishment to its foundations in the late 1880s and early 1890s ."
344,crash and burn,"Okidata Microsystems Division , the Japanese giant 's fledgling flight into the US workstation business , crashed and burned last week , taking the remnants of the Mass860 consortium — the Intel Corp i860 RISC supporters club — with it ."
345,crash and burn,"What , so he 's not very forward or er I think Charlie 's worried that erm , you know , does n't wanna crash and burn ."
346,crash and burn,"And there is no end to this crash - and - burn surveillance strategy , owing to the nature of the information that is caught in the net ."
347,dyed in the wool,From that point on he was ‘ a real dyed in the wool Free Presbyterian’ .
348,dyed in the wool,"The true dyed - in - the - wool , deep down Conservatives may feel uncomfortably that the sacred word has come into the hands of unsuitable people ; including the Americans ."
349,dyed in the wool,Stahl belongs to that dyed - in - the - wool amateur breed who follow the sun not for money but for fun .
350,fight fire with fire,‘ I have spoken to most captains and a lot of players and the general feeling is that we have played against sides in the past with Test players and we wanted to be able to fight fire with fire so to speak .
351,fight fire with fire,New York 's Guerrilla Girls ( and their slightly embarrassing English imitators Sweet Fanny Adams ) try to fight fire with fire and porn with porn .
352,fight fire with fire,"In his view , there are times when you have to fight fire with fire , or , as he put it rather more eloquently during his defence of the Grand Slam Cup decision , ‘ It was a sad reality that we were left with no real option but to protect tradition with the modern deterrent — money.’"
353,all over the place,"‘ I saw the evidence with my own eyes , Melanie wearing only a dressing - gown , her hair all over the place ."
354,all over the place,"The Aerosols were almost impossible to stop , and the soldiers and their weapons and equipment were getting burned and melted all over the place until one brave soldier who had clung on to one of the Aerosols as it flew back to its base came back ( after many adventures ) with the news that their base was a breadboard moored under an overhang on an inland creek ."
355,all over the place,"For a highly fashion - conscious teenage magazine , perhaps , it becomes the norm to have the type dancing about all over the place , with grotesque or perversely distorted images perceived as ‘ up - to - date’ and a more sober or considered treatment considered as old - fashioned as flared trousers and kipper ties.’"
356,grind to a halt,"During this period the Commission sought to win agreement for fundamental reform of the EC 's common agricultural policy ( CAP ) , in part to restrict the growth of intervention stocks ( or "" food mountains "" ) and in part as a result of pressure to reduce the EC 's level of agricultural subsidy in the context of the "" Uruguay round "" of multilateral trade talks of the General Agreement on Tariffs and Trade ( GATT ) , which ground to a halt in December 1990 [ see p. 37930 ] ."
357,grind to a halt,"In developing countries , import substitution as a way to jump - start economic diversification can work for a while ; but , over time , as productivity growth lags and comparative advantage is over - ridden , growth grinds to a halt ."
358,grind to a halt,"Recruitment adversiding advertising for example virtually ground to a halt as businesses started to shed er , people , rather than to look for them ."
359,in a nutshell,‘ I guess that 's the message in a nutshell!’
360,in a nutshell,"So er just because it looks like seduction does n't mean it 's not abuse , I suppose that 's what I 'm saying in the in the in a nutshell ."
361,rise and shine,"Maybe one day , she was thinking , her head and her hormones might agree over something ; and on that day the sun would rise and shine all morning , and fish would leap in the river , and all of her bills would turn out to be rebates ."
362,take a back seat,"McDonough has just been handed his third suspension of the season following his sending off offence at Rochdale last weekend , and he is prepared to take a back seat for much of the rest of this season — if not all of it ."
363,take a bath,KEWILL TAKES BATH ON GERMAN UNIT
364,take a bath,He was all set to take an early bath from his marriage to have an affair with soccer writer Suzannah Dwyer .
365,take a bath,The honoured guest will doubtless not be encouraged to take a crowd bath .
366,bury the hatchet,"At long last , the two chiefs of the Indian tribes have decided to bury the hatchet and smoke the peace pipe ."
367,bury the hatchet,"After the race , the two men met and sensibly buried the hatchet ."
368,in the soup,"Perhaps , in the primordial soup , left and right handedness were in free competition until some small chance advantage became overwhelming through the evolutionary progress ."
369,in the soup,"‘ Yeh Joy , you 're right , but I should n't have used poor Barney in the soup , I knew he hated the water,’ said Hal ."
370,in the soup,"But while ' Deliverance ' was a 70 's nightmare , exposing the soft - underbelly of the male ego and leaving the survivors weeping in their soup , ' City Slickers'is a product of the new - man 90 's , where the soft underbelly is a source of pride ."
371,grease the wheels,Two measures should do a good deal to grease the wheels of the City 's securities business .
372,grease the wheels,"But , rather than taking significant action , the US continued to grease the wheels of its financial sector ."
373,grease the wheels,"Thereafter the tribute was only paid to grease the wheels of Anglo - papal diplomacy , but even these sporadic payments ceased from 1289 ."
374,apples and oranges,It 's apples and oranges .
375,apples and oranges,"Thus , in effect , ICI and GEC — and all UK companies which use historical cost money accounting — are adding and subtracting apples and oranges ."
376,follow in someone's footsteps,‘ Your father repealed the law making you his natural successor once he realized you 'd never follow in his footsteps .
377,follow in someone's footsteps,The pianist is Michael Garrick and altoist Martin Hathaway has the daunting task of following in Harriott 's footsteps .
378,follow in someone's footsteps,Their parents hope they will follow in Adam 's footsteps .
379,under the wire,Sorry for coming in under the wire at er nine fourteen according to this clock .
380,under the wire,Jack Nicholson almost crept under the wire before the studio system was finally extinguished at MGM .
381,under the wire,"Lithuania , Latvia , and Estonia , which were annexed by the Soviet ~ Union in 1940 , slipped in under the wire in 2004 ."
382,out of the blue,"‘ Well , it 's a recognised symptom of the condition that an attack can come out of the blue ."
383,out of the blue,"Then , on 8 May , the Secretary of State suddenly announced out of the blue that the advertising of that post was to be put on ice ."
384,out of the blue,"‘ I have got a very good deal , and it came virtually out of the blue,’ said the Doncaster - based rider , who until last week thought his future lay with a new team being planned in Belgium ."
385,over the moon,DELIGHTED : Mr Misery Champion Rod is plainly over the moon about his new title
386,over the moon,"Shortly before flying back , young Robins was reunited with his father , who declared : ‘ I 'm over the moon ."
387,throw down the gauntlet,"WREXHAM manager Brian Flynn has thrown down the gauntlet to much - travelled striker Howard Gayle , who trained at the Racecourse for the first time yesterday ."
388,throw down the gauntlet,"Meanwhile , Bobby Ferguson yesterday threw down the gauntlet to Sunderland 's Welsh international , Colin Pascoe ."
389,take the bull by the horns,"Sarah hesitated , then seemed to decide to take the bull by the horns ."
390,take the bull by the horns,"I do realize that there are problems in finding suitable sites and that possibly that costs would be involved in setting them up , but for the reasons I 've outlined we should take the bull by the horns and make an effort to find sites and budget for the costs involved so the benefits can be felt as soon as possible ."
391,take the bull by the horns,"He took the bull by the horns at the end of last season , slashing the club 's wage bill by switching from expensive full - time players to part - timers , with dramatic results ."
392,over the top,Keith thinks this is over the top .
393,over the top,"‘ Today I can have a drink like the next man without going over the top,’ he wrote in his self - confessional biography , ‘ I suppose I have learned my lesson the hard way.’"
394,over the top,"Pat Morley , producer of RTE 's major youth programme Beatbox , said : ‘ It 's a bit over the top for us , it might offend viewers.’"
395,sweetness and light,"Not because Bloom was liberal sweetness - and - light , but because he praised the good , the true and the beautiful in useless splendour and denounced relevance , accountability and the rest ; the very qualities these Thatcherites wer bullying British higher education to adopt ."
396,sweetness and light,"Yeah , like the electricity , but your chickens come home to roost when your overtime goes , when your job goes and you take on a commitment and they never , the last ten , fifteen , twenty , twenty five years and they 've never ever , ever taken on a commitment like that before , when it 's presented with just the roses around it , everything 's sweetness and light and roses and the other side is n't really put , put to you , think of the worse scenario , you 're out of a job , what can you do ?"
397,behind someone's back,"Although , she reasoned realistically , if he had been fooling around behind her back it indicated that what he felt for her fell very far short of love , in which case he would probably have cancelled the wedding if she had n't ."
398,behind someone's back,I ca n't believe Wilko is happy with the board going behind his back like that .
399,on the ropes,"But behind the apparent success , the company was on the ropes ."
400,take the cake,"Maui was a little better — at least the interior decorator finished , even if it was in the worst possible taste , but the Seychelles took the cake.!.’"
401,dig up dirt,This was interpreted in the Clinton camp as the Major government attempting to give Bush a hand by digging up dirt on Clinton as a Vietnam draft - dodger or pot - smoker .
402,dig up dirt,He was enough of a prig to revel in disgracing any poor sod he dug up some real dirt about .
403,dig up dirt,Just imagine him saying that to a reporter trying to dig up more dirt … trying to stir it up a bit .
404,left and right,"Left and right we turned under the sick orange of the streetlights , then stopped ."
405,dead in the water,Thatcherism is dead in the water — whoever wins
406,dead in the water,"The casualty was lying beam - on to the swell , and dead in the water with no engine power , so the helicopter 's attempt to lift the survivors had so far been unsuccessful ."
407,dead in the water,"Yes , thank you Chair , erm A lot of this debate circles around what we do about community care , I have to tell this council as far as I 'm concerned , community care 's dead in the water ."
408,take no prisoners,No prisoners were taken .
409,run out of steam,This attitude was bitterly criticized by republican politicians who felt that he had given an enormous fillip to a rebellion that would otherwise have run out of steam .
410,take a hike,Deaf people will think the film 's over and take a hike before I get to do my roof - top ending.’
411,take a hike,"Let the Pyramid Pooper take a hike just this once , eh ?"
412,take a hike,"While all sex therapists insist on the need for emotional involvement to sustain good sex , there are some couples whose sex life takes a hike because they have become too close ."
413,go the extra mile,Strike up some personal rapport with the person in charge Of the centre so that he or she is more likely to go that extra mile for you .
414,under a cloud,"Not only must they care for distressed and disturbed young people , but they must do so under a cloud ."
415,under a cloud,Time to come out from under a cloud and enjoy yourself .
416,under a cloud,"These now comprise 10pc of the total index but are under a cloud because of fears about US President 's wife Hillary Clinton , who is expected to stamp on their profits hard when her review of the US health scene comes out later this year ."
417,in someone's pocket,"So — the taxmen argued — in the new system , tax due on interest payments in the gap from October 1985 to April 1986 would get stuck in the society 's pocket ."
418,in someone's pocket,We need interest rate cuts and we need them now in our pockets where we can feel them .
419,in someone's pocket,"Keeps Biff in his pocket , everybody knows that ."
420,on the shelf,"In those days , spinsterhood was seen as a mark of personal inadequacy , and I , as they probably all realized , was being left on the shelf ."
421,on the shelf,"The saga centres on the tangled love life of a 30-year - old woman , who fears she will be left on the shelf ."
422,on the shelf,"A lightweight racer / trainer many look sleek on the shelf , but it is n't going to stand up to heavy mileage and regular forays off - road ."
423,pound the pavement,He turned and saw a lithe figure in a track suit pounding the pavement towards him .
424,cut and thrust,"After all , he 'd always clearly preferred the ruthless cut and thrust of the business world to that of marriage and domesticity — his freedom to that of commitment ."
425,cut and thrust,"The cut and thrust of debate and the pressures of executive responsibility , the essential features of open and responsible government , are not always conducive to a clear and unbiased explanation of the meaning of statutory language ."
426,song and dance,"As boys , they were generally able to patch up their quarrels with a joky song - and - dance routine ( ' Me and My Shadow ' ) ."
427,song and dance,"My people feel that the right hon . Gentleman would have been better employed if he had rushed to comfort the bereaved rather than carry out a song - and - dance act among people in Dublin , or even watch a rugby match ."
428,song and dance,"‘ Burra has not made a song and dance about how it has been affected,’ he said ."
429,turn the tables,"Following its own ‘ annus horriblis,’ UK software accountancy firm Pegasus Group plc , Kettering , Northamptonshire , has turned the tables again and reinstated Johnathan Hubbard - Ford ( forced out last October ) as chief executive officer after shareholders demanded a management shake - up ."
430,turn the tables,How did he always manage to turn the tables on her like that ?
431,over the hill,"Cute enough , but when you 've seen one clip of Morrissey wriggling like an over - the - hill belly dancer as Marr glares sourly at the baffled provincial audience , you 've seen them all ."
432,over the hill,"But how about Audrey , the ‘ silly woman , a bit over the hill’ she 's played since 1979 ?"
433,over the hill,"No , it is n't a home for fat , elderly over - the - hill musos , but a record label called simply robsrecords ."
434,out of the loop,For five years Bush insisted he was ‘ out of the loop’ on the arms for hostages deal .
435,drop the ball,"‘ Well , see , in the mid and late ' 70s I think the music industry dropped the ball , and I think that 's why there was rarely a good band in the ' 80s ."
436,the buck stops here, The buck stops here . '
437,the buck stops here,"There 's no , oh the buck stops here and I ca n't pass it any further !"
438,the buck stops here,But now the buck stops here …
439,on the rocks,"Duane Jackson ( Jeff Bridges ) has survived rocky adolescence and service in Korea to earn big money in the 70s boom , but as Anarene prepares for centennial celebrations , with a replica of ‘ Old Texasville’ in the town square , he 's saddled with debts of $ 12 million , a marriage on the rocks and a tearaway elder son with a liking for older women ."
440,on the rocks,"He had taken her innocence and beguiled it , filled her childish head with enthusiasm for his own mad fantasies , and left her depleted , a high - minded virgin on the rocks of her own barren dreams ."
441,on the rocks,‘ Was our marriage on the rocks ?
442,break someone's heart,Mr Wilson said the news of the Loyalist killings ‘ broke his heart’ .
443,break someone's heart,"It would break his immigrant heart , too ."
444,break someone's heart,"When she had taught Sarah to read and write it had been her textbook , and it would have broken her heart if she 'd heard such a tirade after all her patient teaching ."
445,steal someone's thunder,To steal SunSelect 's WABI 's thunder — see front page — Microsoft Corp and Insignia Solutions Inc are believed to be moving on the accord that will strengthen their relationship .
446,slap on the wrist,"For even though some attempt to give status to the ‘ community or home beat officer’ has been made following Lord Scarman 's ( 1981 ) report on the Brixton riots which gave something of a ‘ slap on the wrist’to the service , the deference accorded to specialist posting or to detective work remains untouched ."
447,slap on the wrist,"Not for the first time this year , Seles had been let off with a mere slap on the wrist ."
448,on the make,"Or the British academic , Philip Swallow and his American counterpart , Morris Zapp , in David Lodge 's Changing Places — "" academics on the move , in the air , on the make "" — who have exchanged the plate - glass , concrete jungle of Euphoria State University , USA , for the damp , red - brick University of Rummidge , UK ; or the unworldly dons of the 1987 television series , Porterhouse Blue ."
449,on the make,The blokes on the make is n't he ?
450,on the make,The toad had the appearance of a fat businessman being done some sexual service by a hard - faced girl on the make and doing his best not to notice .
451,things that go bump in the night,Things that go bump in the night .
452,push the boat out,Sir James pushes the boat out for a double celebration
453,push the boat out,"Just when you 're looking forward to pushing the boat out and having a spending spree , your sensible side reminds you of all the practical and prudent things you should be doing with any extra money you have ."
454,push the boat out,This is carried by a show of hands and the commodore pushes the boat out .
455,smell a rat,I smell a rat in the air : I shall nip it in the bud .
456,smell a rat,"Niki smelled the rat and said unless his driving contract were honoured , he would move to McLaren ."
457,smell a rat,I smell a rat here — I really do .
458,shoot the messenger,"Why t why c why do they not communicate upwards and I think essentially people it in subordinate positions are about managing the impressions others have of them and tend to believe the notion , no matter how true it is , that er that organisations may have a shoot the messenger philosophy , yes ?"
459,shoot the messenger,Criticising Alan for saying how well scum are playing is a bit like shooting the messenger who brings bad news .
460,shoot the messenger,It is a good idea not to shoot the messenger or fire the witness whose evidence may be essential to any renegotiation or complaint to the authorities.’
461,wake up and smell the coffee,"Wake up and smell the coffee , guys ."
462,fun and games,Alex giggled in anticipation of more fun and games .
463,fun and games,"ELP - STYLE fun and games with a harpsichord , presented by NME 's own Wigan Phil Oakey , for the lonely people of Border Television country ."
464,fun and games,"A cheerful citizen ’s festival is planned with fun and games , with food and drink , for young and old , a multimedia open - air spectacle ."
465,cast the first stone,"Did He not turn the righteous wrath of the crowd back upon themselves and ask those among them who were without sin , to cast the first stone ?"
466,cast the first stone,Let him who has never lifted the seam of a cricket ball cast the first stone.’
467,kick the bucket,‘ Chatterton and Fagg and a few more like them who 've since kicked the bucket .
468,kick the bucket,"For instance , the reason that to pull someone 's left leg and to kick the large bucket have no normal idiomatic interpretation is that leg and bucket carry no meaning in the idiom , so there is nothing for left and large to carry out their normal modifying functions on ( in general , a modifier needs a semantic constituent to modify ) ."
469,kick the bucket,"So , although in all these three , kick the bucket , eat humble pie , get your knickers in a twist er all look like fairly complex transitive constructions ."
470,fly a kite,BP flies an alternative kite
471,fly a kite,"‘ Well , I daresay it 's just me flying a kite , but the fact is Everett was too bloody inquisitive for his own good ."
472,fly a kite,"And , let 's go fly a kite ."
473,in the clear,Charles was relieved that the information put her in the clear ; she had been telling the truth .
474,in the clear,"And the Northern Ireland International surprisingly finding himself in the clear twice already in the first five minutes , although that was er obviously not a chance ."
475,have a few,You both had quite a few
476,have a few,And if she 's had a few your a stupid fucker for even being
477,have a few,I urged him to have a few of the young daughters of the gentlefolk before he established the provisional government at the Smolny Institute .
478,to the hilt,Environmental organisations have worked that one to the hilt .
479,to the hilt,"I tell you , after a long life of many escapes , many dramas which might have been tragedies , what I want and would value most is to be free to choose as much of my life as is given to me — to live it by my own lights , Mary , to do , insofar as God wills it , what I want to do to the very hilt and limit . '"
480,to the hilt,"If the archetypal Tory of the 1979 intake was a rent - a - quote property dealer who backed Mrs Thatcher to the death and the death penalty to the hilt , Mr Heddle can be called a sad loss to the Two Nations Tendency ."
481,open the floodgates,"Test me in this,’ says the Lord Almighty , ‘ and see if I will not throw open the floodgates of heaven and pour out so much blessing that you will not have room enough for it ."
482,open the floodgates,"Dr Beeching 's famous report of January 1963 then opened the floodgates to closure proposals , battles by campaigners and , invariably , consent by the Conservative Government which , after all , was the architect behind Dr Beeching 's appointment as Chairman charged with reducing losses ."
483,open the floodgates,Its authors say the motorway has opened the floodgates for development on a scale planners had n't envisaged .
484,throw the book at,And you 've got the odd youngster who will go there and throw the book at somebody .
485,throw the book at,"Once the police have arrested you , or so it seemed to us , they will throw the book at you in order to make something stick ."
486,throw the book at,Roget 's Thesaurus I threw the book at
487,when the chips are down,"We do n't want the problems on our own doorstep cos when the chips are down , we like to go home , and we like to feel safe and if somebody 's entered your premises as an intruder then all of a sudden your security been taken away ."
488,when the chips are down,Certainly they huff and puff but when the chips are down they chicken out.’
489,between a rock and a hard place,"IN 1987 Labour 's local selection committee in this working class constituency had to choose between a rock and a hard place — either Hughes , a local Transport Union convenor with strong left - wing views , or the outsider , ‘ Red Ted’ Knight from Lambeth ."
490,between a rock and a hard place,So you know we 're stuck between a rock and a hard place
491,put down roots,"She 's had 8 quarters , so it 's hard to put down roots ."
492,put down roots,Ministers for such tough assignments need pioneering gifts ( i.e. they need to be made in the apostolic mould ) and cross - cultural training if a church is to put down local roots .
493,in your dreams,In your dreams !
494,in your dreams,"And do n't forget that this year 's show includes a Vintage & Collectable section , where you will be able to see some of the instruments that until now have featured only in your dreams !"
495,short and sweet,Short and not so sweet .
496,cut and dried,‘ You like your orders cut and dried .
497,cut and dried,"If Seve Ballesteros had looked a winner all along in 1979 , and certainly looked likely to lift the claret jug from a long way out , Dave 's second Open success was not so cut - and - dried ."
498,cut and dried,I was only trying to warn you that things are n't always cut and dried .
499,six of the best,"Without his moustache , the little spin magician looked more boyish than ever , prompting the thought that unless he cooled down he might benefit from six of the best from the carpet - slipper ."
500,six of the best,Six of the best or pieces of eight ?
501,six of the best,There 's six of the best
502,behind closed doors,"My main fear is that once the initial publicity for this has died down , that the Health Authority may attempt to have some sort of behind closed doors , almost like a cover up , and I think that , that , the , this is , this incident has got such ramifications for hospital security in general , there should be a full public enquiry ; and the public have a right to know what went on ."
